ITEM   	 LEN_S 	
axes	   2	
axilla	   -  	
axiom	   2	
axioms	   2	
axis	   2	
axle	   2	
axles	   2	
axman	   -  	
ayah	   2	
ayatollah	   -  	
ayatollahs	   -  	
ayes	   -  	
ayurveda	   -  	
azalea	   -  	
azaleas	   3	
azimuth	   -  	
azimuths	   -  	
aztecs	   -  	
azure	   2	
babblings	   -  	
babes	   1	
babies	   2	
baboon	   2	
baboons	   2	
babushka	   -  	
babushkas	   -  	
babyhood	   3	
baccarat	   -  	
bacchanals	   -  	
baccy	   -  	
bachelors	   3	
bacilli	   -  	
bacillus	   3	
bacitracin	   -  	
backache	   2	
backage	   -  	
backbeat	   -  	
backbend	   -  	
backbiter	   -  	
backbiters	   -  	
backboard	   -  	
backboards	   -  	
backbones	   -  	
backchat	   -  	
backcourt	   -  	
backdown	   -  	
backdrop	   2	
backdrops	   -  	
backers	   2	
backfield	   -  	
backflip	   -  	
backflow	   -  	
backgammon	   3	
background	   2	
backhoes	   -  	
backlash	   2	
backlog	   2	
backlogs	   -  	
backpack	   -  	
backpacker	   -  	
backpacks	   -  	
backpedals	   -  	
backplane	   -  	
backrests	   -  	
backroom	   2	
backrooms	   -  	
backseats	   -  	
backside	   2	
backsides	   2	
backspin	   -  	
backstrap	   -  	
backswept	   -  	
backswing	   -  	
backtalk	   -  	
backtrace	   -  	
backwater	   3	
backwaters	   3	
backway	   -  	
backyard	   2	
backyards	   2	
bacons	   -  	
bacterium	   3	
baddie	   -  	
baddies	   -  	
badgers	   2	
badges	   2	
badminton	   3	
badmouth	   -  	
badness	   2	
baedeker	   -  	
bafflers	   -  	
bagatelle	   -  	
baggage	   2	
baggages	   -  	
baggers	   -  	
bagman	   -  	
bagmen	   -  	
bagpipe	   -  	
bagpiper	   -  	
bagpipes	   2	
baguette	   -  	
baguettes	   -  	
bagworms	   -  	
bahamians	   -  	
baile	   -  	
bailer	   -  	
bailers	   -  	
bailiff	   2	
bailiffs	   2	
bailiwick	   -  	
bailo	   -  	
bailouts	   -  	
bairn	   -  	
bakeries	   3	
bakeshop	   -  	
balaclava	   4	
balalaika	   -  	
balalaikas	   -  	
balancer	   -  	
balao	   -  	
balat	   -  	
balconies	   3	
balcony	   3	
baldies	   -  	
baldness	   2	
baler	   -  	
balers	   -  	
bales	   1	
balks	   -  	
ballad	   2	
ballads	   2	
ballast	   2	
ballasts	   -  	
ballbuster	   -  	
ballcock	   -  	
ballcocks	   -  	
baller	   -  	
ballerina	   4	
ballerinas	   4	
ballers	   -  	
ballet	   2	
ballets	   2	
ballgames	   -  	
ballgown	   -  	
ballista	   -  	
balloon	   2	
balloonist	   -  	
balloting	   3	
ballots	   2	
ballparks	   -  	
ballplayer	   -  	
ballpoints	   -  	
ballrooms	   2	
ballute	   -  	
ballyhoo	   -  	
balms	   -  	
baloneys	   -  	
balsa	   2	
balsam	   -  	
balsams	   -  	
balsawood	   -  	
bambini	   -  	
bambinos	   -  	
bamboo	   2	
bamboos	   -  	
bamming	   -  	
bams	   -  	
banalities	   4	
banality	   4	
bananas	   3	
bandages	   3	
bandana	   -  	
bandanas	   -  	
bandanna	   3	
bandannas	   -  	
bandbox	   -  	
bande	   -  	
bandicoot	   -  	
bandido	   -  	
bandidos	   -  	
bandies	   -  	
banditry	   -  	
bandleader	   -  	
bandmaster	   -  	
bandoleers	   -  	
bandolero	   -  	
bandoleros	   -  	
bandolier	   -  	
bandoliers	   -  	
bandwagon	   3	
bandwidth	   -  	
bangalow	   -  	
bangers	   2	
bangles	   2	
bangtail	   -  	
bani	   -  	
banishment	   3	
banisters	   3	
banjoes	   -  	
bankbook	   -  	
bankbooks	   -  	
bankcards	   -  	
bankers	   2	
banknote	   -  	
banknotes	   2	
bankruptcy	   3	
bankside	   -  	
banners	   2	
bannisters	   -  	
banns	   1	
banquets	   2	
banquette	   -  	
banquettes	   -  	
bans	   1	
bantam	   -  	
baobabs	   -  	
baps	   -  	
baptising	   -  	
baptism	   3	
baptisms	   -  	
baptizer	   -  	
barbarians	   3	
barbarism	   4	
barbarity	   4	
barbell	   -  	
barbells	   -  	
barbeques	   -  	
barbers	   2	
barbet	   -  	
barbets	   -  	
barbican	   3	
barbital	   -  	
barbs	   1	
barbules	   -  	
barbwire	   -  	
bards	   -  	
barfs	   -  	
bargainer	   -  	
bargee	   -  	
bargemen	   -  	
baristas	   -  	
barite	   -  	
baritone	   3	
baritones	   -  	
barium	   -  	
barkeeper	   -  	
barleycorn	   -  	
barmaid	   2	
barmaids	   -  	
barmen	   2	
barnacle	   -  	
barnacles	   3	
barns	   1	
barometer	   4	
barometers	   -  	
baronet	   3	
baronets	   -  	
barons	   2	
barony	   -  	
baroque	   2	
barouche	   -  	
barracks	   2	
barrage	   2	
barrages	   3	
barratry	   -  	
barrelhead	   -  	
barrels	   2	
barrenness	   -  	
barrens	   -  	
barrette	   -  	
barrettes	   -  	
barrier	   2	
barriers	   2	
barrister	   3	
barristers	   3	
barrooms	   -  	
bas	   -  	
baseballs	   -  	
baseboard	   -  	
baseboards	   -  	
baseline	   2	
baselines	   -  	
baseman	   -  	
basement	   2	
basements	   2	
baseness	   2	
bashers	   -  	
basics	   2	
basilica	   4	
basilicas	   -  	
basins	   2	
