ITEM   	 BF_TK 	 BF_TP 	 SLBF  	 MLBF  	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
shots	1351.77	  61.75	  12.17	   3.04	   5	   7	  17	-1	-1	-1	-1	
showcases	 460.61	  69.88	  16.90	   2.11	   9	   0	   0	-1	-1	-1	-1	
shrew	 865.50	  32.00	  10.93	   2.73	   5	   4	  11	-1	 544	-1	 429	
shrews	 671.35	  36.00	  11.94	   2.39	   6	   3	   6	-1	-1	-1	-1	
shrift	 635.40	  41.00	  11.08	   2.22	   6	   1	   4	-1	-1	-1	-1	
shrimp	 640.39	  38.40	  10.71	   2.14	   6	   0	   2	-1	-1	 618	-1	
shrimps	 508.63	  29.50	  15.54	   2.59	   7	   0	   1	-1	-1	-1	-1	
shrine	1585.34	  90.00	  15.04	   3.01	   6	   1	   2	-1	-1	-1	-1	
shrines	1148.96	 129.17	  17.87	   2.98	   7	   1	   2	-1	-1	-1	-1	
shrub	 591.91	  19.75	   8.81	   2.20	   5	   2	   4	 383	-1	 556	-1	
shrubbery	 235.76	  40.75	  15.47	   1.93	   9	   0	   1	-1	-1	-1	-1	
shrubs	 414.64	  27.00	   9.72	   1.94	   6	   2	   4	-1	-1	-1	-1	
siege	 540.89	  23.50	   9.84	   2.46	   5	   2	  10	 503	-1	 445	-1	
siesta	 266.10	  23.00	  10.48	   2.10	   6	   1	   1	-1	-1	-1	-1	
signature	 326.44	  40.75	  18.51	   2.31	   9	   0	   1	-1	-1	-1	-1	
signatures	 292.14	  59.00	  18.20	   2.02	  10	   0	   1	-1	-1	-1	-1	
signora	 354.66	  31.00	  13.25	   2.21	   7	   0	   1	-1	-1	-1	-1	
silicone	 367.86	  49.57	  17.13	   2.45	   8	   0	   1	-1	-1	-1	-1	
silks	 626.36	  43.25	  10.56	   2.64	   5	   6	   5	-1	-1	-1	-1	
silliness	 332.51	  86.25	  19.63	   2.45	   9	   0	   1	-1	 381	-1	 342	
silverfish	 181.82	  33.22	  14.96	   1.66	  10	   0	   0	-1	-1	-1	-1	
simile	1371.30	  63.40	  14.86	   2.97	   6	   1	   1	-1	-1	 334	-1	
