,X,Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipfvalue,cmu_sylls
150,587,actives,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,2
151,588,activism,9,9,9,9,0.176470588,1,0.107296137,1,Noun,9,1,Noun,9,2.291834142,4
152,589,activist,50,40,47,37,0.980392157,1.707570176,0.476871722,1.612783857,Noun,50,1,Noun,50,2.999404318,3
153,590,activists,18,14,17,13,0.352941176,1.278753601,0.166905103,1.176091259,Noun,18,1,Noun,18,2.570587743,3
154,592,activity,657,519,650,513,12.88235294,2.818225894,6.187410587,2.716003344,Noun,657,1,Noun,657,4.110060036,4
155,595,actors,644,327,566,303,12.62745098,2.809559715,3.898426323,2.515873844,Noun,642,1,Noun,642,4.101393857,2
156,597,actress,817,379,783,370,16.01960784,2.912753304,4.518359561,2.579783597,Noun,814,1,Noun,814,4.204587446,2
157,598,actresses,115,91,108,87,2.254901961,2.064457989,1.084883166,1.963787827,Noun,115,1,Noun,115,3.356292131,3
158,600,actu,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
159,605,actuality,24,22,24,22,0.470588235,1.397940009,0.262279447,1.361727836,Noun,24,1,Noun,24,2.689774151,5
160,609,actuals,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,NA
161,612,actuaries,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,4
162,613,actuary,7,6,4,4,0.137254902,0.903089987,0.071530758,0.84509804,Noun,7,1,Noun,7,2.194924129,4
163,617,actuation,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
164,618,actuator,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,4
165,619,actuators,2,1,2,1,0.039215686,0.477121255,0.011921793,0.301029996,Noun,2,1,Noun,2,1.768955397,4
166,620,acuity,14,14,14,14,0.274509804,1.176091259,0.166905103,1.176091259,Noun,14,1,Noun,14,2.467925401,4
167,621,acumen,7,5,7,5,0.137254902,0.903089987,0.059608965,0.77815125,Noun,7,1,Noun,7,2.194924129,3
168,628,acuteness,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
169,629,acyclovir,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,4
170,632,adages,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
171,638,adamas,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
172,640,adance,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
173,644,adaptation,81,70,34,27,1.588235294,1.913813852,0.834525513,1.851258349,Noun,81,1,Noun,81,3.205647995,4
174,647,adapter,11,7,11,7,0.215686275,1.079181246,0.083452551,0.903089987,Noun,11,1,Noun,11,2.371015388,3
175,649,adaption,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
176,651,adaptor,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
177,652,adaptors,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
178,658,addenda,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,NA
179,659,addendum,15,12,10,7,0.294117647,1.204119983,0.143061516,1.113943352,Noun,15,1,Noun,15,2.495954125,3
180,660,addendums,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
181,663,addict,273,193,273,193,5.352941176,2.437750563,2.300906056,2.28780173,Noun,271,1,Noun,271,3.729584705,2
182,666,addiction,199,130,192,126,3.901960784,2.301029996,1.549833095,2.117271296,Noun,199,1,Noun,199,3.592864138,3
183,670,addicts,106,79,96,74,2.078431373,2.029383778,0.94182165,1.903089987,Noun,106,1,Noun,106,3.32121792,2
184,672,addio,4,2,4,2,0.078431373,0.698970004,0.023843586,0.477121255,Noun,4,1,Noun,4,1.990804146,NA
185,678,additions,11,10,11,10,0.215686275,1.079181246,0.11921793,1.041392685,Noun,11,1,Noun,11,2.371015388,3
186,680,additives,10,8,10,8,0.196078431,1.041392685,0.095374344,0.954242509,Noun,10,1,Noun,10,2.333226827,3
187,685,addr,2,1,2,1,0.039215686,0.477121255,0.011921793,0.301029996,Noun,2,1,Noun,2,1.768955397,NA
188,688,addressee,6,6,6,6,0.117647059,0.84509804,0.071530758,0.84509804,Noun,6,1,Noun,6,2.136932182,3
189,695,adductor,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
190,697,adelante,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
191,704,adenoids,11,9,9,8,0.215686275,1.079181246,0.107296137,1,Noun,11,1,Noun,11,2.371015388,3
192,705,adenoma,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
193,706,adenopathy,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
194,709,adeptness,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
195,710,adepts,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,NA
196,711,adequacy,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,4
197,717,adherence,9,9,8,8,0.176470588,1,0.107296137,1,Noun,9,1,Noun,9,2.291834142,3
198,718,adherent,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
199,719,adherents,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
200,722,adhesion,6,6,6,6,0.117647059,0.84509804,0.071530758,0.84509804,Noun,6,1,Noun,6,2.136932182,3
201,723,adhesions,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,NA
202,725,adhesives,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
203,728,adieus,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
204,732,adiposity,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
205,735,adjective,25,21,23,20,0.490196078,1.414973348,0.250357654,1.342422681,Noun,25,1,Noun,25,2.70680749,3
206,736,adjectives,25,23,24,22,0.490196078,1.414973348,0.27420124,1.380211242,Noun,25,1,Noun,25,2.70680749,3
207,753,adjunct,7,6,6,5,0.137254902,0.903089987,0.071530758,0.84509804,Noun,7,1,Noun,7,2.194924129,2
208,759,adjuster,20,17,19,16,0.392156863,1.322219295,0.202670482,1.255272505,Noun,20,1,Noun,20,2.614053437,3
209,760,adjusters,7,3,7,3,0.137254902,0.903089987,0.035765379,0.602059991,Noun,7,1,Noun,7,2.194924129,3
210,762,adjustment,158,129,152,125,3.098039216,2.201397124,1.537911302,2.113943352,Noun,157,1,Noun,157,3.493231266,3
211,764,adjustor,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,NA
212,766,adjutant,45,26,36,20,0.882352941,1.662757832,0.309966619,1.431363764,Noun,45,1,Noun,45,2.954591974,3
