orderID,run,list,numID,cond,file_num,Word,Zipfvalue,cmu_sylls,BF_TP,LEN_L,reason_for_change,cond_code,trigger_code,len,corr_resp,fix_code,word_code,delay_code,audioresp_code,jittered_ISI,total_time,OLD_file_num
1136,run4,6,13801,low1,list6_13801_prop_low1,prop,3.5683,1,13.67,4,,3,30,1,2,31,32,33,34,3250,11250,list6_13801_prop_low1
1137,run4,6,13755,high3,list6_13755_professor_high3,professor,4.8419,3,53.63,9,,2,20,1,2,21,22,23,24,3400,11400,list6_13755_professor_high3
1138,run4,6,9510,high1,list6_9510_king_high1,king,5.1109,1,31,4,,1,10,1,2,11,12,13,14,3500,11500,list6_9510_king_high1
1139,run4,6,4725,low3,list6_4725_density_low3,density,3.1611,3,75,7,"move this or ""destiny"" to another list",4,40,1,2,41,42,43,44,3350,11350,list6_4725_density_low3
1140,run4,6,4988,low3,list6_4988_diploma_low3,diploma,3.4058,3,31.67,7,,4,40,1,2,41,42,43,44,3250,11250,list6_4988_diploma_low3
1141,run4,6,8841,low3,list6_8841_incentive_low3,incentive,3.2962,3,107.13,9,,4,40,1,2,41,42,43,44,3400,11400,list6_8841_incentive_low3
1142,run4,6,4912,low3,list6_4912_manpower_low3,manpower,3.317140007,3,63,8,negative connotation,4,40,1,2,41,42,43,44,3200,11200,list6_4912_dictator_low3
1143,run4,6,10758,low1,list6_10758_maze_low1,maze,3.4091,1,16,4,,3,30,1,2,31,32,33,34,3400,11400,list6_10758_maze_low1
1144,run4,6,14445,low3,list6_14445_reduction_low3,reduction,3.2412,3,124,9,,4,40,1,2,41,42,43,44,3250,11250,list6_14445_reduction_low3
1145,run4,6,16135,high1,list6_16135_skull_high1,skull,4.1675,1,13.25,5,negative connotation,1,10,1,2,11,12,13,14,3450,11450,list6_16135_skull_high1
1146,run4,6,8538,high3,list6_8538_hospital_high3,hospital,5.0936,3,37.43,8,negative connotation,2,20,1,2,21,22,23,24,3450,11450,list6_8538_hospital_high3
1147,run4,6,5345,low1,list6_5345_dread_low1,dread,3.4024,1,35,5,negative connotation,3,30,1,2,31,32,33,34,3250,11250,list6_5345_dread_low1
1148,run4,6,16079,high1,list6_16079_size_high1,size,4.6636,1,9.33,4,,1,10,1,2,11,12,13,14,3250,11250,list6_16079_size_high1
1149,run4,6,1247,high3,list6_1247_bartender_high3,bartender,3.9899,3,81.5,9,,2,20,1,2,21,22,23,24,3250,11250,list6_1247_bartender_high3
1150,run4,6,15414,high3,list6_15414_scientist_high3,scientist,4.0856,3,85.63,9,,2,20,1,2,21,22,23,24,3250,11250,list6_15414_scientist_high3
1151,run4,6,18645,low1,list6_18645_vale_low1,vale,3.1726,1,25.33,4,,3,30,1,2,31,32,33,34,3350,11350,list6_18645_vale_low1
1152,run4,6,6625,low1,list6_6625_flap_low1,flap,3.4254,1,18.67,4,,3,30,1,2,31,32,33,34,3450,11450,list6_6625_flap_low1
1153,run4,6,16941,high1,list6_16941_storm_high1,storm,4.4891,1,33.75,5,,1,10,1,2,11,12,13,14,3350,11350,list6_16941_storm_high1
