numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
12327	41321	moles	41	41	23	28	21	0.80392	1.6232	0.2742	1.3802	Noun	41	1	2.9151	1	86.75	5	13	1	low	low1	3	30	1	2	31	32	33	34	
6973	23679	fats	48	48	28	30	13	0.94118	1.6902	0.33381	1.4624	Noun	48	1	2.982	1	29.67	4	14	1	low	low1	3	30	1	2	31	32	33	34	
11836	39736	media	1137	1137	852	709	483	22.2941	3.0561	10.1574	2.9309	Noun	1134	1	4.348	2	13.5	5	1	1	high	high3	2	20	1	2	21	22	23	24	
10423	35461	keratin	2	2	1	2	1	0.039216	0.47712	0.011922	0.30103	Noun	2	1	1.769	3	46.5	7	0	1	low	low3	4	40	1	2	41	42	43	44	
16923	57319	scrutiny	58	58	53	57	53	1.1373	1.7709	0.63186	1.7324	Noun	58	1	3.0627	3	175.71	8	0	1	low	low3	4	40	1	2	41	42	43	44	
18011	61058	spam	59	59	41	16	7	1.1569	1.7782	0.48879	1.6232	Noun	59	1	3.07	1	11	4	7	1	low	low1	3	30	1	2	31	32	33	34	
12067	40473	midsection	19	19	17	18	16	0.37255	1.301	0.20267	1.2553	Noun	18	1	2.5929	3	119.56	10	0	1	low	low3	4	40	1	2	41	42	43	44	
10513	35677	kingmaker	3	3	3	2	2	0.058824	0.60206	0.035765	0.60206	Noun	3	1	1.8939	3	29.38	9	0	1	low	low3	4	40	1	2	41	42	43	44	
8000	26980	generics	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	68	8	1	1	low	low3	4	40	1	2	41	42	43	44	
16851	57058	scones	40	40	29	37	27	0.78431	1.6128	0.34573	1.4771	Noun	40	1	2.9046	1	99.8	6	3	1	low	low1	3	30	1	2	31	32	33	34	
20248	69106	underside	12	12	12	12	12	0.23529	1.1139	0.14306	1.1139	Noun	12	1	2.4058	3	70.88	9	0	1	low	low3	4	40	1	2	41	42	43	44	
9469	31498	humorist	2	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	3	73	8	0	1	low	low3	4	40	1	2	41	42	43	44	
5745	19454	dominos	5	5	3	5	3	0.098039	0.77815	0.035765	0.60206	Noun	5	1	2.07	3	30.83	7	0	1	low	low3	4	40	1	2	41	42	43	44	
13311	44461	olds	24	24	24	18	18	0.47059	1.3979	0.28612	1.3979	Noun	24	1	2.6898	1	7.33	4	1	1	low	low1	3	30	1	2	31	32	33	34	
4071	13149	computers	551	551	334	502	318	10.8039	2.7419	3.9819	2.525	Noun	552	1	4.0338	3	91.75	9	1	1	high	high3	2	20	1	2	21	22	23	24	
16085	54456	respondent	7	7	6	6	5	0.13725	0.90309	0.071531	0.8451	Noun	7	1	2.1949	3	66.22	10	1	1	low	low3	4	40	1	2	41	42	43	44	
20678	71388	vintages	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	104.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
10349	35149	jujitsu	16	16	13	13	11	0.31373	1.2304	0.15498	1.1461	Noun	15	1	2.5223	3	8.17	7	0	1	low	low3	4	40	1	2	41	42	43	44	
17258	58367	shears	48	48	34	44	33	0.94118	1.6902	0.40534	1.5441	Noun	48	1	2.982	1	66	6	3	1	low	low1	3	30	1	2	31	32	33	34	
18451	62729	storybook	27	27	24	26	23	0.52941	1.4472	0.28612	1.3979	Noun	27	1	2.739	3	25.38	9	0	1	low	low3	4	40	1	2	41	42	43	44	
